metro_name,bachelors_or_higher_pct,cbsa_code
"Abilene, TX Metro Area",26.6,10180
"Aguadilla, PR Metro Area",24.3,10380
"Akron, OH Metro Area",35.1,10420
"Albany, GA Metro Area",23.1,10500
"Albany, OR Metro Area",21.6,10540
"Albany-Schenectady-Troy, NY Metro Area",42.1,10580
"Albuquerque, NM Metro Area",35.6,10740
"Alexandria, LA Metro Area",21.9,10780
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",33.5,10900
"Altoona, PA Metro Area",24.4,11020
"Amarillo, TX Metro Area",27.1,11100
"Ames, IA Metro Area",47.9,11180
"Amherst Town-Northampton, MA Metro Area",51.6,11200
"Anchorage, AK Metro Area",34.7,11260
"Ann Arbor, MI Metro Area",58.7,11460
"Anniston-Oxford, AL Metro Area",20.6,11500
"Appleton, WI Metro Area",32.8,11540
"Arecibo, PR Metro Area",26.7,11640
"Asheville, NC Metro Area",42.5,11700
"Athens-Clarke County, GA Metro Area",43.2,12020
"Atlanta-Sandy Springs-Roswell, GA Metro Area",42.2,12060
"Atlantic City-Hammonton, NJ Metro Area",33.8,12100
"Auburn-Opelika, AL Metro Area",40.4,12220
"Augusta-Richmond County, GA-SC Metro Area",29.5,12260
"Austin-Round Rock-San Marcos, TX Metro Area",50.9,12420
"Bakersfield-Delano, CA Metro Area",18.8,12540
"Baltimore-Columbia-Towson, MD Metro Area",44.0,12580
"Bangor, ME Metro Area",30.1,12620
"Barnstable Town, MA Metro Area",48.2,12700
"Baton Rouge, LA Metro Area",30.4,12940
"Battle Creek, MI Metro Area",22.9,12980
"Bay City, MI Metro Area",22.1,13020
"Beaumont-Port Arthur, TX Metro Area",19.5,13140
"Beckley, WV Metro Area",20.1,13220
"Bellingham, WA Metro Area",39.3,13380
"Bend, OR Metro Area",40.4,13460
"Billings, MT Metro Area",34.1,13740
"Binghamton, NY Metro Area",29.8,13780
"Birmingham, AL Metro Area",33.7,13820
"Bismarck, ND Metro Area",36.3,13900
"Blacksburg-Christiansburg-Radford, VA Metro Area",35.9,13980
"Bloomington, IL Metro Area",47.2,14010
"Bloomington, IN Metro Area",44.3,14020
"Boise City, ID Metro Area",37.1,14260
"Boston-Cambridge-Newton, MA-NH Metro Area",51.9,14460
"Boulder, CO Metro Area",64.2,14500
"Bowling Green, KY Metro Area",27.3,14540
"Bozeman, MT Metro Area",54.3,14580
