cbsa_code,metro_name,rpp
10180,"Abilene, TX (Metropolitan Statistical Area)",90.364
10420,"Akron, OH (Metropolitan Statistical Area)",93.370
10500,"Albany, GA (Metropolitan Statistical Area)",87.669
10540,"Albany, OR (Metropolitan Statistical Area)",102.100
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",99.566
10740,"Albuquerque, NM (Metropolitan Statistical Area)",95.546
10780,"Alexandria, LA (Metropolitan Statistical Area)",85.686
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",99.968
11020,"Altoona, PA (Metropolitan Statistical Area)",89.507
11100,"Amarillo, TX (Metropolitan Statistical Area)",91.820
11180,"Ames, IA (Metropolitan Statistical Area)",88.830
11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",100.243
11260,"Anchorage, AK (Metropolitan Statistical Area)",105.420
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",100.880
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",85.949
11540,"Appleton, WI (Metropolitan Statistical Area)",92.419
11700,"Asheville, NC (Metropolitan Statistical Area)",96.506
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",93.343
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",100.058
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",98.857
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",87.933
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",91.903
12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",98.066
12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",100.886
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",104.487
12620,"Bangor, ME (Metropolitan Statistical Area)",96.508
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",98.351
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",90.780
12980,"Battle Creek, MI (Metropolitan Statistical Area)",90.541
13020,"Bay City, MI (Metropolitan Statistical Area)",91.921
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",90.046
13220,"Beckley, WV (Metropolitan Statistical Area)",88.369
13380,"Bellingham, WA (Metropolitan Statistical Area)",103.334
13460,"Bend, OR (Metropolitan Statistical Area)",103.607
13740,"Billings, MT (Metropolitan Statistical Area)",93.526
13780,"Binghamton, NY (Metropolitan Statistical Area)",92.863
13820,"Birmingham, AL (Metropolitan Statistical Area)",91.644
13900,"Bismarck, ND (Metropolitan Statistical Area)",91.024
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",92.710
14010,"Bloomington, IL (Metropolitan Statistical Area)",93.537
14020,"Bloomington, IN (Metropolitan Statistical Area)",95.084
14260,"Boise City, ID (Metropolitan Statistical Area)",98.391
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",108.266
14500,"Boulder, CO (Metropolitan Statistical Area)",105.202
14540,"Bowling Green, KY (Metropolitan Statistical Area)",90.179
14580,"Bozeman, MT (Metropolitan Statistical Area)",102.510
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",105.607
14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",106.864
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",85.975
15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",87.708
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",95.844
15500,"Burlington, NC (Metropolitan Statistical Area)",93.196
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",100.949
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",89.406
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",102.349
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",86.078
16180,"Carson City, NV (Metropolitan Statistical Area)",98.130
16220,"Casper, WY (Metropolitan Statistical Area)",93.829
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",88.963
16540,"Chambersburg, PA (Metropolitan Statistical Area)",94.642
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",92.704
16620,"Charleston, WV (Metropolitan Statistical Area)",88.717
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",100.962
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",97.348
16820,"Charlottesville, VA (Metropolitan Statistical Area)",99.146
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",91.464
16940,"Cheyenne, WY (Metropolitan Statistical Area)",96.491
