cbsa_code,metro_name,employment,median_wage
10180,"Abilene, TX",75070,44340
10380,"Aguadilla, PR",48810,26480
10420,"Akron, OH",319560,48840
10500,"Albany, GA",58390,43620
10540,"Albany, OR",47260,49700
10580,"Albany-Schenectady-Troy, NY",449410,58460
10740,"Albuquerque, NM",404700,48060
10780,"Alexandria, LA",60000,40600
10900,"Allentown-Bethlehem-Easton, PA-NJ",377180,48990
11020,"Altoona, PA",58650,44270
11100,"Amarillo, TX",123930,44580
11180,"Ames, IA",55890,50220
11200,"Amherst Town-Northampton, MA",65670,57030
11260,"Anchorage, AK",177050,60200
11460,"Ann Arbor, MI",219730,55380
11500,"Anniston-Oxford, AL",43570,42680
11540,"Appleton, WI",124230,49910
11640,"Arecibo, PR",34720,26120
11700,"Asheville, NC",180620,46870
12020,"Athens-Clarke County, GA",95800,41220
12060,"Atlanta-Sandy Springs-Roswell, GA",2889670,51170
12100,"Atlantic City-Hammonton, NJ",168700,47520
12220,"Auburn-Opelika, AL",72710,39070
12260,"Augusta-Richmond County, GA-SC",231930,45990
12420,"Austin-Round Rock-San Marcos, TX",1293690,56950
12540,"Bakersfield-Delano, CA",338230,47470
12580,"Baltimore-Columbia-Towson, MD",1356680,59070
12620,"Bangor, ME",72270,47960
12700,"Barnstable Town, MA",94110,56360
12940,"Baton Rouge, LA",409690,48710
12980,"Battle Creek, MI",54600,48690
13020,"Bay City, MI",33810,45620
13140,"Beaumont-Port Arthur, TX",163220,48630
13220,"Beckley, WV",43080,41850
13380,"Bellingham, WA",91390,57820
13460,"Bend, OR",108240,54570
13740,"Billings, MT",93800,49060
13780,"Binghamton, NY",97030,49460
13820,"Birmingham, AL",520290,47770
13900,"Bismarck, ND",71270,52560
13980,"Blacksburg-Christiansburg-Radford, VA",74070,48120
14010,"Bloomington, IL",88110,53140
14020,"Bloomington, IN",73240,47660
14260,"Boise City, ID",391790,49100
14460,"Boston-Cambridge-Newton, MA-NH",2703890,66620
14500,"Boulder, CO",192390,69580
14540,"Bowling Green, KY",82160,45040
14580,"Bozeman, MT",72210,54830
14740,"Bremerton-Silverdale-Port Orchard, WA",93740,63200
14860,"Bridgeport-Stamford-Danbury, CT",404180,61470
15180,"Brownsville-Harlingen, TX",157450,36490
15260,"Brunswick-St. Simons, GA",46860,41940
15380,"Buffalo-Cheektowaga, NY",534550,50790
15500,"Burlington, NC",67830,44010
15540,"Burlington-South Burlington, VT",120150,60020
15940,"Canton-Massillon, OH",163080,45810
15980,"Cape Coral-Fort Myers, FL",304790,46780
16020,"Cape Girardeau, MO-IL",44680,44470
16180,"Carson City, NV",31940,56680
16220,"Casper, WY",40020,48880
16300,"Cedar Rapids, IA",139260,49360
16540,"Chambersburg, PA",60280,47540
16580,"Champaign-Urbana, IL",105500,50700
16620,"Charleston, WV",103450,45830
16700,"Charleston-North Charleston, SC",394170,49150
16740,"Charlotte-Concord-Gastonia, NC-SC",1358370,49990
16820,"Charlottesville, VA",114780,55180
16860,"Chattanooga, TN-GA",268750,46700
16940,"Cheyenne, WY",48470,51540
16980,"Chicago-Naperville-Elgin, IL-IN",4513280,54720
17020,"Chico, CA",78220,48050
17140,"Cincinnati, OH-KY-IN",1101030,50170
17300,"Clarksville, TN-KY",103220,44860
17410,"Cleveland, OH",1031130,50140
17420,"Cleveland, TN",43010,40230
17660,"Coeur d'Alene, ID",72280,47750
17780,"College Station-Bryan, TX",134040,44470
17820,"Colorado Springs, CO",316060,52710
17860,"Columbia, MO",107680,47260
17900,"Columbia, SC",394200,46430
17980,"Columbus, GA-AL",116380,43540
18020,"Columbus, IN",49820,48470
18140,"Columbus, OH",1105580,51340
18580,"Corpus Christi, TX",192580,45350
18700,"Corvallis, OR",38550,57680
18880,"Crestview-Fort Walton Beach-Destin, FL",125050,47510
19100,"Dallas-Fort Worth-Arlington, TX",4049800,51440
19140,"Dalton, GA",65300,42210
19300,"Daphne-Fairhope-Foley, AL",87120,38520
19340,"Davenport-Moline-Rock Island, IA-IL",180450,48550
19430,"Dayton-Kettering-Beavercreek, OH",372660,49980
19460,"Decatur, AL",61240,46280
19500,"Decatur, IL",45550,51290
19660,"Deltona-Daytona Beach-Ormond Beach, FL",219740,44940
19740,"Denver-Aurora-Centennial, CO",1609350,62320
19780,"Des Moines-West Des Moines, IA",404130,51820
19820,"Detroit-Warren-Dearborn, MI",1904530,52080
20020,"Dothan, AL",60720,38170
20100,"Dover, DE",68080,46690
20220,"Dubuque, IA",58470,48750
20260,"Duluth, MN-WI",124710,50000
20500,"Durham-Chapel Hill, NC",344020,60720
20580,"Eagle Pass, TX",18820,35560
20740,"Eau Claire, WI",86060,48100
20940,"El Centro, CA",65430,45140
21060,"Elizabethtown, KY",51540,46810
21140,"Elkhart-Goshen, IN",127730,48070
21300,"Elmira, NY",33600,47850
21340,"El Paso, TX",339120,39510
21420,"Enid, OK",23320,40500
21500,"Erie, PA",120480,44460
