cbsa_code,metro_name_x,employment,median_wage,metro_name_y,bachelors_or_higher_pct,metro_name,rpp
10180,"Abilene, TX",75070,44340,"Abilene, TX Metro Area",26.6,"Abilene, TX (Metropolitan Statistical Area)",90.364
10420,"Akron, OH",319560,48840,"Akron, OH Metro Area",35.1,"Akron, OH (Metropolitan Statistical Area)",93.37
10500,"Albany, GA",58390,43620,"Albany, GA Metro Area",23.1,"Albany, GA (Metropolitan Statistical Area)",87.669
10540,"Albany, OR",47260,49700,"Albany, OR Metro Area",21.6,"Albany, OR (Metropolitan Statistical Area)",102.1
10580,"Albany-Schenectady-Troy, NY",449410,58460,"Albany-Schenectady-Troy, NY Metro Area",42.1,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",99.566
10740,"Albuquerque, NM",404700,48060,"Albuquerque, NM Metro Area",35.6,"Albuquerque, NM (Metropolitan Statistical Area)",95.546
10780,"Alexandria, LA",60000,40600,"Alexandria, LA Metro Area",21.9,"Alexandria, LA (Metropolitan Statistical Area)",85.686
10900,"Allentown-Bethlehem-Easton, PA-NJ",377180,48990,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",33.5,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",99.968
11020,"Altoona, PA",58650,44270,"Altoona, PA Metro Area",24.4,"Altoona, PA (Metropolitan Statistical Area)",89.507
11100,"Amarillo, TX",123930,44580,"Amarillo, TX Metro Area",27.1,"Amarillo, TX (Metropolitan Statistical Area)",91.82
11180,"Ames, IA",55890,50220,"Ames, IA Metro Area",47.9,"Ames, IA (Metropolitan Statistical Area)",88.83
11200,"Amherst Town-Northampton, MA",65670,57030,"Amherst Town-Northampton, MA Metro Area",51.6,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",100.243
11260,"Anchorage, AK",177050,60200,"Anchorage, AK Metro Area",34.7,"Anchorage, AK (Metropolitan Statistical Area)",105.42
11460,"Ann Arbor, MI",219730,55380,"Ann Arbor, MI Metro Area",58.7,"Ann Arbor, MI (Metropolitan Statistical Area)",100.88
11500,"Anniston-Oxford, AL",43570,42680,"Anniston-Oxford, AL Metro Area",20.6,"Anniston-Oxford, AL (Metropolitan Statistical Area)",85.949
11540,"Appleton, WI",124230,49910,"Appleton, WI Metro Area",32.8,"Appleton, WI (Metropolitan Statistical Area)",92.419
11700,"Asheville, NC",180620,46870,"Asheville, NC Metro Area",42.5,"Asheville, NC (Metropolitan Statistical Area)",96.506
12020,"Athens-Clarke County, GA",95800,41220,"Athens-Clarke County, GA Metro Area",43.2,"Athens-Clarke County, GA (Metropolitan Statistical Area)",93.343
12060,"Atlanta-Sandy Springs-Roswell, GA",2889670,51170,"Atlanta-Sandy Springs-Roswell, GA Metro Area",42.2,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",100.058
12100,"Atlantic City-Hammonton, NJ",168700,47520,"Atlantic City-Hammonton, NJ Metro Area",33.8,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",98.857
12220,"Auburn-Opelika, AL",72710,39070,"Auburn-Opelika, AL Metro Area",40.4,"Auburn-Opelika, AL (Metropolitan Statistical Area)",87.933
12260,"Augusta-Richmond County, GA-SC",231930,45990,"Augusta-Richmond County, GA-SC Metro Area",29.5,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",91.903
12420,"Austin-Round Rock-San Marcos, TX",1293690,56950,"Austin-Round Rock-San Marcos, TX Metro Area",50.9,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",98.066
12540,"Bakersfield-Delano, CA",338230,47470,"Bakersfield-Delano, CA Metro Area",18.8,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",100.886
12580,"Baltimore-Columbia-Towson, MD",1356680,59070,"Baltimore-Columbia-Towson, MD Metro Area",44.0,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",104.487
12620,"Bangor, ME",72270,47960,"Bangor, ME Metro Area",30.1,"Bangor, ME (Metropolitan Statistical Area)",96.508
12700,"Barnstable Town, MA",94110,56360,"Barnstable Town, MA Metro Area",48.2,"Barnstable Town, MA (Metropolitan Statistical Area)",98.351
12940,"Baton Rouge, LA",409690,48710,"Baton Rouge, LA Metro Area",30.4,"Baton Rouge, LA (Metropolitan Statistical Area)",90.78
12980,"Battle Creek, MI",54600,48690,"Battle Creek, MI Metro Area",22.9,"Battle Creek, MI (Metropolitan Statistical Area)",90.541
13020,"Bay City, MI",33810,45620,"Bay City, MI Metro Area",22.1,"Bay City, MI (Metropolitan Statistical Area)",91.921
13140,"Beaumont-Port Arthur, TX",163220,48630,"Beaumont-Port Arthur, TX Metro Area",19.5,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",90.046
13220,"Beckley, WV",43080,41850,"Beckley, WV Metro Area",20.1,"Beckley, WV (Metropolitan Statistical Area)",88.369
13380,"Bellingham, WA",91390,57820,"Bellingham, WA Metro Area",39.3,"Bellingham, WA (Metropolitan Statistical Area)",103.334
13460,"Bend, OR",108240,54570,"Bend, OR Metro Area",40.4,"Bend, OR (Metropolitan Statistical Area)",103.607
13740,"Billings, MT",93800,49060,"Billings, MT Metro Area",34.1,"Billings, MT (Metropolitan Statistical Area)",93.526
13780,"Binghamton, NY",97030,49460,"Binghamton, NY Metro Area",29.8,"Binghamton, NY (Metropolitan Statistical Area)",92.863
13820,"Birmingham, AL",520290,47770,"Birmingham, AL Metro Area",33.7,"Birmingham, AL (Metropolitan Statistical Area)",91.644
13900,"Bismarck, ND",71270,52560,"Bismarck, ND Metro Area",36.3,"Bismarck, ND (Metropolitan Statistical Area)",91.024
13980,"Blacksburg-Christiansburg-Radford, VA",74070,48120,"Blacksburg-Christiansburg-Radford, VA Metro Area",35.9,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",92.71
14010,"Bloomington, IL",88110,53140,"Bloomington, IL Metro Area",47.2,"Bloomington, IL (Metropolitan Statistical Area)",93.537
14020,"Bloomington, IN",73240,47660,"Bloomington, IN Metro Area",44.3,"Bloomington, IN (Metropolitan Statistical Area)",95.084
14260,"Boise City, ID",391790,49100,"Boise City, ID Metro Area",37.1,"Boise City, ID (Metropolitan Statistical Area)",98.391
14460,"Boston-Cambridge-Newton, MA-NH",2703890,66620,"Boston-Cambridge-Newton, MA-NH Metro Area",51.9,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",108.266
14500,"Boulder, CO",192390,69580,"Boulder, CO Metro Area",64.2,"Boulder, CO (Metropolitan Statistical Area)",105.202
14540,"Bowling Green, KY",82160,45040,"Bowling Green, KY Metro Area",27.3,"Bowling Green, KY (Metropolitan Statistical Area)",90.179
14580,"Bozeman, MT",72210,54830,"Bozeman, MT Metro Area",54.3,"Bozeman, MT (Metropolitan Statistical Area)",102.51
14740,"Bremerton-Silverdale-Port Orchard, WA",93740,63200,"Bremerton-Silverdale-Port Orchard, WA Metro Area",37.9,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",105.607
14860,"Bridgeport-Stamford-Danbury, CT",404180,61470,"Bridgeport-Stamford-Danbury, CT Metro Area",50.9,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",106.864
15180,"Brownsville-Harlingen, TX",157450,36490,"Brownsville-Harlingen, TX Metro Area",22.1,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",85.975
15260,"Brunswick-St. Simons, GA",46860,41940,"Brunswick-St. Simons, GA Metro Area",28.3,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",87.708
15380,"Buffalo-Cheektowaga, NY",534550,50790,"Buffalo-Cheektowaga, NY Metro Area",36.2,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",95.844
15500,"Burlington, NC",67830,44010,"Burlington, NC Metro Area",28.7,"Burlington, NC (Metropolitan Statistical Area)",93.196
15540,"Burlington-South Burlington, VT",120150,60020,"Burlington-South Burlington, VT Metro Area",50.2,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",100.949
15940,"Canton-Massillon, OH",163080,45810,"Canton-Massillon, OH Metro Area",25.2,"Canton-Massillon, OH (Metropolitan Statistical Area)",89.406
15980,"Cape Coral-Fort Myers, FL",304790,46780,"Cape Coral-Fort Myers, FL Metro Area",31.2,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",102.349
16020,"Cape Girardeau, MO-IL",44680,44470,"Cape Girardeau, MO-IL Metro Area",29.8,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",86.078
16180,"Carson City, NV",31940,56680,"Carson City, NV Metro Area",23.7,"Carson City, NV (Metropolitan Statistical Area)",98.13
